
TEST CASES
case	Country	Length	Width	Height	Weight	Cost	pairings
Length	Width	0.1	0	1	3
Length	Width	0.1	0.1	1	4
Length	Width	0.1	10	2	83, 123
Length	Width	0.1	19.9	2	84, 124
Length	Width	0.1	20	1	63
Length	Width	0.1	20.1	1	64
Length	Width	0.1	30	2	23, 137
Length	Width	0.1	39.9	2	24, 138
Length	Width	0.1	40	1	43
Length	Width	0.1	40.1	1	44
Length	Width	15	0	1	5
Length	Width	15	0.1	1	6
Length	Width	15	10	2	85, 125
Length	Width	15	19.9	2	86, 126
Length	Width	15	20	2	65, 129
Length	Width	15	20.1	2	66, 130
Length	Width	15	30	1	25
Length	Width	15	39.9	1	26
Length	Width	15	40	1	45
Length	Width	15	40.1	1	46
Length	Width	29.9	0	2	7, 119
Length	Width	29.9	0.1	2	8, 120
Length	Width	29.9	10	1	47
Length	Width	29.9	19.9	1	48
Length	Width	29.9	20	2	67, 103
Length	Width	29.9	20.1	2	68, 104
Length	Width	29.9	30	2	87, 135
Length	Width	29.9	39.9	2	88, 136
Length	Width	29.9	40	1	27
Length	Width	29.9	40.1	1	28
Length	Width	30	0	1	9
Length	Width	30	0.1	1	10
Length	Width	30	10	1	49
Length	Width	30	19.9	1	50
Length	Width	30	20	2	89, 127
Length	Width	30	20.1	2	90, 128
Length	Width	30	30	2	69, 139
Length	Width	30	39.9	2	70, 140
Length	Width	30	40	1	29
Length	Width	30	40.1	1	30
Length	Width	30.1	0	1	31
Length	Width	30.1	0.1	1	32
Length	Width	30.1	10	2	11, 111
Length	Width	30.1	19.9	2	12, 112
Length	Width	30.1	20	1	71
Length	Width	30.1	20.1	1	72
Length	Width	30.1	30	2	91, 141
Length	Width	30.1	39.9	2	92, 142
Length	Width	30.1	40	1	51
Length	Width	30.1	40.1	1	52
Length	Width	45	0	2	53, 143
Length	Width	45	0.1	2	54, 144
Length	Width	45	10	2	13, 105
Length	Width	45	19.9	2	14, 106
Length	Width	45	20	1	33
Length	Width	45	20.1	1	34
Length	Width	45	30	1	93
Length	Width	45	39.9	1	94
Length	Width	45	40	1	73
Length	Width	45	40.1	1	74
Length	Width	59.9	0	2	75, 109
Length	Width	59.9	0.1	2	76, 110
Length	Width	59.9	10	1	35
Length	Width	59.9	19.9	1	36
Length	Width	59.9	20	1	15
Length	Width	59.9	20.1	1	16
Length	Width	59.9	30	1	55
Length	Width	59.9	39.9	1	56
Length	Width	59.9	40	2	95, 107
Length	Width	59.9	40.1	2	96, 108
Length	Width	60	0	1	97
Length	Width	60	0.1	1	98
Length	Width	60	10	1	37
Length	Width	60	19.9	1	38
Length	Width	60	20	1	17
Length	Width	60	20.1	1	18
Length	Width	60	30	3	57, 113, 131
Length	Width	60	39.9	3	58, 114, 132
Length	Width	60	40	1	77
Length	Width	60	40.1	1	78
Length	Width	60.1	0	1	79
Length	Width	60.1	0.1	1	80
Length	Width	60.1	10	1	59
Length	Width	60.1	19.9	1	60
Length	Width	60.1	20	1	19
Length	Width	60.1	20.1	1	20
Length	Width	60.1	30	2	39, 121
Length	Width	60.1	39.9	2	40, 122
Length	Width	60.1	40	2	99, 115
Length	Width	60.1	40.1	2	100, 116
Length	Height	0	0	2	1, 134
Length	Height	0	0.1	2	2, 133
Length	Height	0	12	2	41, 81
Length	Height	0	24.9	2	42, 82
Length	Height	0	25	1	62
Length	Height	0	25.1	1	61
Length	Height	0	32	1	118
Length	Height	0	39.9	1	117
Length	Height	0	40	2	21, 101
Length	Height	0	40.1	2	22, 102
Length	Height	0.1	0	1	4
Length	Height	0.1	0.1	1	3
Length	Height	0.1	12	1	84
Length	Height	0.1	24.9	1	83
Length	Height	0.1	25	2	43, 138
Length	Height	0.1	25.1	2	44, 137
Length	Height	0.1	32	1	64
Length	Height	0.1	39.9	1	63
Length	Height	0.1	40	2	24, 124
Length	Height	0.1	40.1	2	23, 123
Length	Height	15	0	1	25
Length	Height	15	0.1	1	26
Length	Height	15	12	2	5, 126
Length	Height	15	24.9	2	6, 125
Length	Height	15	25	2	46, 130
Length	Height	15	25.1	2	45, 129
Length	Height	15	32	1	65
Length	Height	15	39.9	1	66
Length	Height	15	40	1	86
Length	Height	15	40.1	1	85
Length	Height	29.9	0	1	27
Length	Height	29.9	0.1	1	28
Length	Height	29.9	12	1	8
Length	Height	29.9	24.9	1	7
Length	Height	29.9	25	2	67, 88
Length	Height	29.9	25.1	2	68, 87
Length	Height	29.9	32	2	48, 135
Length	Height	29.9	39.9	2	47, 136
Length	Height	29.9	40	2	104, 120
Length	Height	29.9	40.1	2	103, 119
Length	Height	30	0	1	30
Length	Height	30	0.1	1	29
Length	Height	30	12	2	70, 90
Length	Height	30	24.9	2	69, 89
Length	Height	30	25	1	9
Length	Height	30	25.1	1	10
Length	Height	30	32	1	127
Length	Height	30	39.9	1	128
Length	Height	30	40	2	49, 139
Length	Height	30	40.1	2	50, 140
Length	Height	30.1	0	1	72
Length	Height	30.1	0.1	1	71
Length	Height	30.1	12	2	52, 142
Length	Height	30.1	24.9	2	51, 141
Length	Height	30.1	25	1	11
Length	Height	30.1	25.1	1	12
Length	Height	30.1	32	2	31, 91
Length	Height	30.1	39.9	2	32, 92
Length	Height	30.1	40	1	111
Length	Height	30.1	40.1	1	112
Length	Height	45	0	2	33, 143
Length	Height	45	0.1	2	34, 144
Length	Height	45	12	1	105
Length	Height	45	24.9	1	106
Length	Height	45	25	1	54
Length	Height	45	25.1	1	53
Length	Height	45	32	2	13, 94
Length	Height	45	39.9	2	14, 93
Length	Height	45	40	1	73
Length	Height	45	40.1	1	74
Length	Height	59.9	0	2	35, 107
Length	Height	59.9	0.1	2	36, 108
Length	Height	59.9	12	1	109
Length	Height	59.9	24.9	1	110
Length	Height	59.9	25	1	55
Length	Height	59.9	25.1	1	56
Length	Height	59.9	32	1	15
Length	Height	59.9	39.9	1	16
Length	Height	59.9	40	2	75, 96
Length	Height	59.9	40.1	2	76, 95
Length	Height	60	0	2	58, 113
Length	Height	60	0.1	2	57, 114
Length	Height	60	12	2	37, 131
Length	Height	60	24.9	2	38, 132
Length	Height	60	25	1	97
Length	Height	60	25.1	1	98
Length	Height	60	32	1	77
Length	Height	60	39.9	1	78
Length	Height	60	40	1	17
Length	Height	60	40.1	1	18
Length	Height	60.1	0	2	60, 116
Length	Height	60.1	0.1	2	59, 115
Length	Height	60.1	12	1	39
Length	Height	60.1	24.9	1	40
Length	Height	60.1	25	1	121
Length	Height	60.1	25.1	1	122
Length	Height	60.1	32	2	80, 100
Length	Height	60.1	39.9	2	79, 99
Length	Height	60.1	40	1	20
Length	Height	60.1	40.1	1	19
Length	Weight	0	0	1	1
Length	Weight	0	0.1	1	2
Length	Weight	0	5	2	101, 133
Length	Weight	0	9.9	2	102, 134
Length	Weight	0	10	2	41, 117
Length	Weight	0	10.1	2	42, 118
Length	Weight	0	12	1	21
Length	Weight	0	14.9	1	22
Length	Weight	0	15	2	62, 82
Length	Weight	0	15.1	2	61, 81
Length	Weight	0.1	0	2	44, 124
Length	Weight	0.1	0.1	2	43, 123
Length	Weight	0.1	5	1	3
Length	Weight	0.1	9.9	1	4
Length	Weight	0.1	10	1	83
Length	Weight	0.1	10.1	1	84
Length	Weight	0.1	12	1	63
Length	Weight	0.1	14.9	1	64
Length	Weight	0.1	15	2	23, 137
Length	Weight	0.1	15.1	2	24, 138
Length	Weight	15	0	2	6, 66
Length	Weight	15	0.1	2	5, 65
Length	Weight	15	5	2	45, 126
Length	Weight	15	9.9	2	46, 125
Length	Weight	15	10	1	130
Length	Weight	15	10.1	1	129
Length	Weight	15	12	1	86
Length	Weight	15	14.9	1	85
Length	Weight	15	15	1	26
Length	Weight	15	15.1	1	25
Length	Weight	29.9	0	3	48, 88, 136
Length	Weight	29.9	0.1	3	47, 87, 135
Length	Weight	29.9	5	1	8
Length	Weight	29.9	9.9	1	7
Length	Weight	29.9	10	1	119
Length	Weight	29.9	10.1	1	120
Length	Weight	29.9	12	1	68
Length	Weight	29.9	14.9	1	67
Length	Weight	29.9	15	2	27, 103
Length	Weight	29.9	15.1	2	28, 104
Length	Weight	30	0	2	29, 139
Length	Weight	30	0.1	2	30, 140
Length	Weight	30	5	1	90
Length	Weight	30	9.9	1	89
Length	Weight	30	10	1	9
Length	Weight	30	10.1	1	10
Length	Weight	30	12	1	70
Length	Weight	30	14.9	1	69
Length	Weight	30	15	2	49, 127
Length	Weight	30	15.1	2	50, 128
Length	Weight	30.1	0	1	71
Length	Weight	30.1	0.1	1	72
Length	Weight	30.1	5	2	92, 111
Length	Weight	30.1	9.9	2	91, 112
Length	Weight	30.1	10	2	12, 142
Length	Weight	30.1	10.1	2	11, 141
Length	Weight	30.1	12	1	31
Length	Weight	30.1	14.9	1	32
Length	Weight	30.1	15	1	52
Length	Weight	30.1	15.1	1	51
Length	Weight	45	0	1	105
Length	Weight	45	0.1	1	106
Length	Weight	45	5	3	33, 74, 143
Length	Weight	45	9.9	3	34, 73, 144
Length	Weight	45	10	1	13
Length	Weight	45	10.1	1	14
Length	Weight	45	12	1	54
Length	Weight	45	14.9	1	53
Length	Weight	45	15	1	94
Length	Weight	45	15.1	1	93
Length	Weight	59.9	0	1	95
Length	Weight	59.9	0.1	1	96
Length	Weight	59.9	5	1	55
Length	Weight	59.9	9.9	1	56
Length	Weight	59.9	10	2	16, 76
Length	Weight	59.9	10.1	2	15, 75
Length	Weight	59.9	12	2	35, 108
Length	Weight	59.9	14.9	2	36, 107
Length	Weight	59.9	15	1	109
Length	Weight	59.9	15.1	1	110
Length	Weight	60	0	2	37, 113
Length	Weight	60	0.1	2	38, 114
Length	Weight	60	5	1	77
Length	Weight	60	9.9	1	78
Length	Weight	60	10	2	17, 57
Length	Weight	60	10.1	2	18, 58
Length	Weight	60	12	1	132
Length	Weight	60	14.9	1	131
Length	Weight	60	15	1	98
Length	Weight	60	15.1	1	97
Length	Weight	60.1	0	1	121
Length	Weight	60.1	0.1	1	122
Length	Weight	60.1	5	1	40
Length	Weight	60.1	9.9	1	39
Length	Weight	60.1	10	2	60, 116
Length	Weight	60.1	10.1	2	59, 115
Length	Weight	60.1	12	2	19, 99
Length	Weight	60.1	14.9	2	20, 100
Length	Weight	60.1	15	1	79
Length	Weight	60.1	15.1	1	80
Length	Cost	0	0	2	1, 62
Length	Cost	0	0.01	2	2, 61
Length	Cost	0	5000	2	101, 118
Length	Cost	0	9999.99	2	102, 117
Length	Cost	0	10000	1	133
Length	Cost	0	10000.01	1	134
Length	Cost	0	15000	2	42, 81
Length	Cost	0	19999.99	2	41, 82
Length	Cost	0	20000	1	22
Length	Cost	0	20000.01	1	21
Length	Cost	0.1	0	1	24
Length	Cost	0.1	0.01	1	23
Length	Cost	0.1	5000	1	3
Length	Cost	0.1	9999.99	1	4
Length	Cost	0.1	10000	1	64
Length	Cost	0.1	10000.01	1	63
Length	Cost	0.1	15000	1	123
Length	Cost	0.1	19999.99	1	124
Length	Cost	0.1	20000	3	43, 84, 137
Length	Cost	0.1	20000.01	3	44, 83, 138
Length	Cost	15	0	2	45, 129
Length	Cost	15	0.01	2	46, 130
Length	Cost	15	5000	1	6
Length	Cost	15	9999.99	1	5
Length	Cost	15	10000	1	25
Length	Cost	15	10000.01	1	26
Length	Cost	15	15000	1	86
Length	Cost	15	19999.99	1	85
Length	Cost	15	20000	2	66, 126
Length	Cost	15	20000.01	2	65, 125
Length	Cost	29.9	0	2	8, 119
Length	Cost	29.9	0.01	2	7, 120
Length	Cost	29.9	5000	2	27, 67
Length	Cost	29.9	9999.99	2	28, 68
Length	Cost	29.9	10000	1	135
Length	Cost	29.9	10000.01	1	136
Length	Cost	29.9	15000	2	48, 103
Length	Cost	29.9	19999.99	2	47, 104
Length	Cost	29.9	20000	1	87
Length	Cost	29.9	20000.01	1	88
Length	Cost	30	0	2	69, 127
Length	Cost	30	0.01	2	70, 128
Length	Cost	30	5000	2	50, 140
Length	Cost	30	9999.99	2	49, 139
Length	Cost	30	10000	1	9
Length	Cost	30	10000.01	1	10
Length	Cost	30	15000	1	29
Length	Cost	30	19999.99	1	30
Length	Cost	30	20000	1	89
Length	Cost	30	20000.01	1	90
Length	Cost	30.1	0	2	111, 141
Length	Cost	30.1	0.01	2	112, 142
Length	Cost	30.1	5000	1	52
Length	Cost	30.1	9999.99	1	51
Length	Cost	30.1	10000	1	71
Length	Cost	30.1	10000.01	1	72
Length	Cost	30.1	15000	2	11, 92
Length	Cost	30.1	19999.99	2	12, 91
Length	Cost	30.1	20000	1	31
Length	Cost	30.1	20000.01	1	32
Length	Cost	45	0	1	34
Length	Cost	45	0.01	1	33
Length	Cost	45	5000	1	93
Length	Cost	45	9999.99	1	94
Length	Cost	45	10000	2	14, 73
Length	Cost	45	10000.01	2	13, 74
Length	Cost	45	15000	2	53, 144
Length	Cost	45	19999.99	2	54, 143
Length	Cost	45	20000	1	105
Length	Cost	45	20000.01	1	106
Length	Cost	59.9	0	1	96
Length	Cost	59.9	0.01	1	95
Length	Cost	59.9	5000	2	35, 56
Length	Cost	59.9	9999.99	2	36, 55
Length	Cost	59.9	10000	2	76, 108
Length	Cost	59.9	10000.01	2	75, 107
Length	Cost	59.9	15000	1	16
Length	Cost	59.9	19999.99	1	15
Length	Cost	59.9	20000	1	110
Length	Cost	59.9	20000.01	1	109
Length	Cost	60	0	2	78, 131
Length	Cost	60	0.01	2	77, 132
Length	Cost	60	5000	1	57
Length	Cost	60	9999.99	1	58
Length	Cost	60	10000	2	37, 98
Length	Cost	60	10000.01	2	38, 97
Length	Cost	60	15000	1	113
Length	Cost	60	19999.99	1	114
Length	Cost	60	20000	1	17
Length	Cost	60	20000.01	1	18
Length	Cost	60.1	0	1	19
Length	Cost	60.1	0.01	1	20
Length	Cost	60.1	5000	1	100
Length	Cost	60.1	9999.99	1	99
Length	Cost	60.1	10000	2	40, 122
Length	Cost	60.1	10000.01	2	39, 121
Length	Cost	60.1	15000	1	80
Length	Cost	60.1	19999.99	1	79
Length	Cost	60.1	20000	2	59, 116
Length	Cost	60.1	20000.01	2	60, 115
Length	Country	0	RF	8	1, 21, 41, 61, 81, 101, 117, 133
Length	Country	0	notRF	8	2, 22, 42, 62, 82, 102, 118, 134
Length	Country	0.1	RF	7	3, 23, 43, 64, 83, 123, 138
Length	Country	0.1	notRF	7	4, 24, 44, 63, 84, 124, 137
Length	Country	15	RF	7	5, 26, 45, 66, 86, 125, 129
Length	Country	15	notRF	7	6, 25, 46, 65, 85, 126, 130
Length	Country	29.9	RF	8	7, 28, 48, 67, 87, 104, 120, 136
Length	Country	29.9	notRF	8	8, 27, 47, 68, 88, 103, 119, 135
Length	Country	30	RF	7	10, 29, 50, 69, 89, 127, 140
Length	Country	30	notRF	7	9, 30, 49, 70, 90, 128, 139
Length	Country	30.1	RF	7	11, 32, 52, 72, 91, 111, 142
Length	Country	30.1	notRF	7	12, 31, 51, 71, 92, 112, 141
Length	Country	45	RF	7	14, 34, 54, 74, 94, 105, 143
Length	Country	45	notRF	7	13, 33, 53, 73, 93, 106, 144
Length	Country	59.9	RF	7	15, 35, 56, 76, 95, 108, 109
Length	Country	59.9	notRF	7	16, 36, 55, 75, 96, 107, 110
Length	Country	60	RF	7	17, 38, 58, 78, 97, 114, 131
Length	Country	60	notRF	7	18, 37, 57, 77, 98, 113, 132
Length	Country	60.1	RF	7	20, 40, 60, 80, 99, 116, 121
Length	Country	60.1	notRF	7	19, 39, 59, 79, 100, 115, 122
Width	Height	0	0	2	1, 143
Width	Height	0	0.1	1	3
Width	Height	0	12	2	5, 109
Width	Height	0	24.9	1	7
Width	Height	0	25	2	9, 97
Width	Height	0	25.1	1	53
Width	Height	0	32	1	31
Width	Height	0	39.9	1	79
Width	Height	0	40	1	75
Width	Height	0	40.1	1	119
Width	Height	0.1	0	1	4
Width	Height	0.1	0.1	2	2, 144
Width	Height	0.1	12	1	8
Width	Height	0.1	24.9	2	6, 110
Width	Height	0.1	25	1	54
Width	Height	0.1	25.1	2	10, 98
Width	Height	0.1	32	1	80
Width	Height	0.1	39.9	1	32
Width	Height	0.1	40	1	120
Width	Height	0.1	40.1	1	76
Width	Height	10	0	1	35
Width	Height	10	0.1	1	59
Width	Height	10	12	2	37, 105
Width	Height	10	24.9	2	83, 125
Width	Height	10	25	1	11
Width	Height	10	25.1	1	61
Width	Height	10	32	1	13
Width	Height	10	39.9	1	47
Width	Height	10	40	2	49, 111
Width	Height	10	40.1	2	85, 123
Width	Height	19.9	0	1	60
Width	Height	19.9	0.1	1	36
Width	Height	19.9	12	2	84, 126
Width	Height	19.9	24.9	2	38, 106
Width	Height	19.9	25	1	62
Width	Height	19.9	25.1	1	12
Width	Height	19.9	32	1	48
Width	Height	19.9	39.9	1	14
Width	Height	19.9	40	2	86, 124
Width	Height	19.9	40.1	2	50, 112
Width	Height	20	0	1	33
Width	Height	20	0.1	1	71
Width	Height	20	12	1	81
Width	Height	20	24.9	1	89
Width	Height	20	25	1	67
Width	Height	20	25.1	1	129
Width	Height	20	32	3	15, 65, 127
Width	Height	20	39.9	2	63, 117
Width	Height	20	40	2	17, 101
Width	Height	20	40.1	2	19, 103
Width	Height	20.1	0	1	72
Width	Height	20.1	0.1	1	34
Width	Height	20.1	12	1	90
Width	Height	20.1	24.9	1	82
Width	Height	20.1	25	1	130
Width	Height	20.1	25.1	1	68
Width	Height	20.1	32	2	64, 118
Width	Height	20.1	39.9	3	16, 66, 128
Width	Height	20.1	40	2	20, 104
Width	Height	20.1	40.1	2	18, 102
Width	Height	30	0	2	25, 113
Width	Height	30	0.1	2	57, 133
Width	Height	30	12	2	39, 131
Width	Height	30	24.9	2	69, 141
Width	Height	30	25	2	55, 121
Width	Height	30	25.1	2	87, 137
Width	Height	30	32	2	91, 135
Width	Height	30	39.9	1	93
Width	Height	30	40	2	21, 139
Width	Height	30	40.1	1	23
Width	Height	39.9	0	2	58, 134
Width	Height	39.9	0.1	2	26, 114
Width	Height	39.9	12	2	70, 142
Width	Height	39.9	24.9	2	40, 132
Width	Height	39.9	25	2	88, 138
Width	Height	39.9	25.1	2	56, 122
Width	Height	39.9	32	1	94
Width	Height	39.9	39.9	2	92, 136
Width	Height	39.9	40	1	24
Width	Height	39.9	40.1	2	22, 140
Width	Height	40	0	2	27, 107
Width	Height	40	0.1	2	29, 115
Width	Height	40	12	1	41
Width	Height	40	24.9	1	51
Width	Height	40	25	1	43
Width	Height	40	25.1	1	45
Width	Height	40	32	1	77
Width	Height	40	39.9	1	99
Width	Height	40	40	1	73
Width	Height	40	40.1	1	95
Width	Height	40.1	0	2	30, 116
Width	Height	40.1	0.1	2	28, 108
Width	Height	40.1	12	1	52
Width	Height	40.1	24.9	1	42
Width	Height	40.1	25	1	46
Width	Height	40.1	25.1	1	44
Width	Height	40.1	32	1	100
Width	Height	40.1	39.9	1	78
Width	Height	40.1	40	1	96
Width	Height	40.1	40.1	1	74
Width	Weight	0	0	1	1
Width	Weight	0	0.1	1	5
Width	Weight	0	5	2	3, 143
Width	Weight	0	9.9	1	7
Width	Weight	0	10	2	9, 119
Width	Weight	0	10.1	1	75
Width	Weight	0	12	1	31
Width	Weight	0	14.9	1	53
Width	Weight	0	15	2	79, 109
Width	Weight	0	15.1	1	97
Width	Weight	0.1	0	1	6
Width	Weight	0.1	0.1	1	2
Width	Weight	0.1	5	1	8
Width	Weight	0.1	9.9	2	4, 144
Width	Weight	0.1	10	1	76
Width	Weight	0.1	10.1	2	10, 120
Width	Weight	0.1	12	1	54
Width	Weight	0.1	14.9	1	32
Width	Weight	0.1	15	1	98
Width	Weight	0.1	15.1	2	80, 110
Width	Weight	10	0	2	37, 105
Width	Weight	10	0.1	2	47, 123
Width	Weight	10	5	1	111
Width	Weight	10	9.9	1	125
Width	Weight	10	10	2	13, 83
Width	Weight	10	10.1	2	11, 59
Width	Weight	10	12	1	35
Width	Weight	10	14.9	1	85
Width	Weight	10	15	1	49
Width	Weight	10	15.1	1	61
Width	Weight	19.9	0	2	48, 124
Width	Weight	19.9	0.1	2	38, 106
Width	Weight	19.9	5	1	126
Width	Weight	19.9	9.9	1	112
Width	Weight	19.9	10	2	12, 60
Width	Weight	19.9	10.1	2	14, 84
Width	Weight	19.9	12	1	86
Width	Weight	19.9	14.9	1	36
Width	Weight	19.9	15	1	62
Width	Weight	19.9	15.1	1	50
Width	Weight	20	0	1	71
Width	Weight	20	0.1	1	65
